datetime,symbol,open,high,low,close,volume
2021-12-21 01:00:00,BINANCE:LINKUSD,18.7843697,19.783351,18.1942312,19.4423482,870560.12910522
2021-12-22 01:00:00,BINANCE:LINKUSD,19.4361623,20.9800513,19.1426915,19.9265291,1307950.53809432
2021-12-23 01:00:00,BINANCE:LINKUSD,19.8775594,22.7751495,19.5119801,22.1751089,1190757.9329622407
2021-12-24 01:00:00,BINANCE:LINKUSD,22.1609142,22.9233984,21.1990588,21.4729912,873919.15611457
2021-12-25 01:00:00,BINANCE:LINKUSD,21.4928613,22.5026089,21.1218369,22.1180891,618488.3123398793
2021-12-26 01:00:00,BINANCE:LINKUSD,22.116769,24.0559452,21.0318718,22.9877693,1202119.5181933888
2021-12-27 01:00:00,BINANCE:LINKUSD,23.0184937,24.7231724,22.7508943,23.0238291,836383.88775034
2021-12-28 01:00:00,BINANCE:LINKUSD,22.9770898,23.206515,20.2254568,20.3906911,1074919.41755785
2021-12-29 01:00:00,BINANCE:LINKUSD,20.3855104,21.0197097,19.4054192,19.7408935,1203594.1346081104
2021-12-30 01:00:00,BINANCE:LINKUSD,19.6869303,20.53098,18.964605,19.9399457,886530.356134831
2021-12-31 01:00:00,BINANCE:LINKUSD,19.9463598,20.7840341,18.9403322,19.5130045,642502.1888429407
