symbol,open,high,low,close,volume,day
BINANCE:LINKUSD,15.434259,17.3893719,15.1370857,17.1796061,1233243.7800000021,1
BINANCE:LINKUSD,17.2013337,18.871104,17.1391812,17.827961,1400749.669999997,2
BINANCE:LINKUSD,17.8251369,18.1425325,17.5082797,17.6506256,463496.94999999966,3
BINANCE:LINKUSD,17.6478671,18.696649,17.5369176,18.1511037,588200.05,4
BINANCE:LINKUSD,18.1525217,19.7644503,17.8042426,19.1410532,1214504.930000003,5
BINANCE:LINKUSD,19.1446291,19.3121772,18.2336268,18.2845508,752045.6100000001,6
BINANCE:LINKUSD,18.2693502,19.0785744,18.0546754,18.8169623,637934.540000001,7
BINANCE:LINKUSD,18.8303958,19.7625271,17.9940055,18.2255779,559274.44,8
BINANCE:LINKUSD,18.2339099,18.6244597,17.995424,18.4732133,429095.1800000004,9
BINANCE:LINKUSD,18.5000309,19.3026756,18.0125952,19.0914175,308643.94000000024,10
BINANCE:LINKUSD,19.1031419,20.690082,18.8579926,20.1506557,809627.1200000002,11
BINANCE:LINKUSD,20.1554482,20.8564532,19.78254,20.4763758,647757.5499999997,12
BINANCE:LINKUSD,20.4774563,20.5931001,19.5516744,19.8878271,355186.37999999983,13
BINANCE:LINKUSD,19.8654178,20.4668419,19.7327373,20.2600226,315245.9799999997,14
BINANCE:LINKUSD,20.2586739,20.5238198,19.6647959,19.9459673,351618.10000000044,15
BINANCE:LINKUSD,19.9437165,20.3143865,19.1568036,19.5693477,195060.75999999957,16
BINANCE:LINKUSD,19.5805682,20.2661841,19.2324454,20.0415556,213065.40999999977,17
BINANCE:LINKUSD,20.0502996,20.3850356,19.7735329,20.1107818,141186.83999999994,18
BINANCE:LINKUSD,20.1166267,20.2500575,19.6547257,19.8277338,238212.31999999986,19
BINANCE:LINKUSD,19.8230497,19.8721602,18.5221262,19.2766002,248304.6099999999,20
BINANCE:LINKUSD,19.2818552,19.2818552,17.9973627,18.6004387,273922.54999999976,21
BINANCE:LINKUSD,18.5849447,19.0160504,18.0402556,18.1044786,228905.31999999998,22
BINANCE:LINKUSD,18.1028826,18.2721361,17.5909937,17.9270108,207020.57999999987,23
BINANCE:LINKUSD,17.9377106,18.5865268,17.7561506,18.5217244,116070.24000000015,24
BINANCE:LINKUSD,18.5392964,18.8544414,18.370413,18.7246129,100507.32999999991,25
BINANCE:LINKUSD,18.7275596,19.2938758,18.140012,19.1009251,274306.39999999973,26
BINANCE:LINKUSD,19.1043812,19.4077077,18.6878984,19.0275657,313106.38000000006,27
BINANCE:LINKUSD,19.0187096,20.8480492,18.0904879,19.4477453,872488.1699999992,28
BINANCE:LINKUSD,19.4266706,20.4519705,18.8069988,19.2856335,431149.0700000001,29
