symbol,open,high,low,close,volume,day
BINANCE:LINKUSD,25.1765502,25.9720577,22.7778701,22.9775982,210194.62000000005,1
BINANCE:LINKUSD,22.9689662,23.3246542,19.3228475,20.4601701,508382.5899999999,2
BINANCE:LINKUSD,20.4526529,22.0410427,15.5621383,21.6799785,1399779.629999999,3
BINANCE:LINKUSD,21.696976,21.717282,19.3410489,19.9723201,384417.34000000055,4
BINANCE:LINKUSD,19.9872941,20.2805762,18.9716724,19.1871015,198950.48000000042,5
BINANCE:LINKUSD,19.1974247,19.9300335,18.4202365,18.6039485,138590.62000000002,6
BINANCE:LINKUSD,18.5912291,19.8482469,17.8059734,18.3830305,281185.12999999995,7
BINANCE:LINKUSD,18.3315255,18.6356639,17.8883699,18.4442917,65177.959999999875,8
BINANCE:LINKUSD,18.4529663,18.9933605,17.4569595,18.2790338,138347.41000000006,9
BINANCE:LINKUSD,18.2772444,19.1265348,17.6771519,18.8053715,95985.99,10
BINANCE:LINKUSD,18.805848,19.7955915,18.2376782,18.6620231,95095.74000000005,11
BINANCE:LINKUSD,18.6215389,19.5265175,17.6814868,19.2092318,124390.78999999989,12
BINANCE:LINKUSD,19.2041664,19.332587,18.1981949,18.5413607,46443.70000000003,13
BINANCE:LINKUSD,18.5727418,19.834035,18.4723504,19.3821074,81185.11999999982,14
BINANCE:LINKUSD,19.3795806,19.6508519,18.7396638,18.9970464,36821.390000000014,15
BINANCE:LINKUSD,19.0018341,19.249962,18.5865241,18.7037521,29901.219999999998,16
BINANCE:LINKUSD,18.6935117,19.792379,18.3954057,19.1146935,81762.95000000004,17
BINANCE:LINKUSD,19.1422056,19.204429,17.2928437,17.8603941,93322.58000000009,18
BINANCE:LINKUSD,17.8635346,18.1956616,17.4587953,17.991251,68404.08999999998,19
BINANCE:LINKUSD,17.9858615,18.4648657,17.8156263,18.2982187,50463.79,20
BINANCE:LINKUSD,18.299507,19.0574836,17.1231048,17.4187648,113093.14999999998,21
BINANCE:LINKUSD,17.4097837,18.0284892,17.3190959,17.7581164,30502.09999999997,22
BINANCE:LINKUSD,17.7493197,18.1416454,17.4396817,17.616992,31071.399999999965,23
BINANCE:LINKUSD,17.6402367,17.7461569,15.0007475,15.2676505,197351.47999999998,24
BINANCE:LINKUSD,15.3000609,15.5632049,14.0847807,15.3136088,243559.10999999967,25
BINANCE:LINKUSD,15.2998539,15.7567294,14.7009004,15.2527184,207553.83000000005,26
BINANCE:LINKUSD,15.2784578,15.7574724,14.7714471,15.1186935,124937.72999999997,27
BINANCE:LINKUSD,15.1202581,15.1929016,13.4647399,14.8159398,192787.3699999999,28
