symbol,open,high,low,close,volume,day
BINANCE:LINKUSD,6.2360035,6.4209511,5.9310108,6.0650795,978257.5800000011,1
BINANCE:LINKUSD,6.0735541,6.2730328,5.9755094,6.2153908,467194.5600000005,2
BINANCE:LINKUSD,6.2110443,6.2413405,5.9992291,6.2083812,371923.24000000017,3
BINANCE:LINKUSD,6.2081956,6.4481691,6.0130088,6.4242694,596669.9899999994,4
BINANCE:LINKUSD,6.4223185,6.5440391,6.0559292,6.3068957,788125.6899999998,5
BINANCE:LINKUSD,6.3071835,6.4024567,6.1711447,6.3276136,543295.7000000008,6
BINANCE:LINKUSD,6.3313502,6.7495083,6.3034358,6.6378066,907556.109999999,7
BINANCE:LINKUSD,6.6489599,6.8412249,6.3227012,6.3515132,862086.8399999989,8
BINANCE:LINKUSD,6.3545903,6.5825764,6.345051,6.4810806,396560.37,9
BINANCE:LINKUSD,6.4786632,6.482978,6.1062463,6.1904066,390415.0099999995,10
BINANCE:LINKUSD,6.1808373,6.4546777,5.9765423,6.0338495,898863.8300000012,11
BINANCE:LINKUSD,6.03536,6.2336648,5.9247692,5.9419793,630823.58,12
BINANCE:LINKUSD,5.9408172,6.2252418,5.7033229,6.1700219,620893.5799999998,13
BINANCE:LINKUSD,6.1664127,6.3859377,6.0007863,6.2676202,461574.8400000005,14
BINANCE:LINKUSD,6.2718208,6.4461645,6.1158898,6.3256549,675496.4700000003,15
BINANCE:LINKUSD,6.330259,6.6180707,6.1446312,6.5943556,503369.5299999996,16
BINANCE:LINKUSD,6.5947388,6.7107563,6.3221782,6.3461609,442865.0300000001,17
BINANCE:LINKUSD,6.3460602,7.1429757,6.3263684,7.040135,853464.9800000009,18
BINANCE:LINKUSD,7.0389575,7.3778074,6.7362211,7.2578502,935383.5800000004,19
BINANCE:LINKUSD,7.2552019,7.5847688,6.8297029,6.8669376,853459.0999999995,20
BINANCE:LINKUSD,6.8650244,7.0531763,6.6412937,6.9953068,467008.90000000055,21
BINANCE:LINKUSD,6.9971448,7.284833,6.7485799,6.7825908,531012.8899999998,22
BINANCE:LINKUSD,6.7882209,7.0260734,6.6169074,6.8477948,358046.2699999996,23
BINANCE:LINKUSD,6.8488681,7.2436385,6.8393599,7.0943317,423572.4999999997,24
BINANCE:LINKUSD,7.098375,7.1431814,6.4153391,6.4281892,566915.3400000011,25
BINANCE:LINKUSD,6.4128818,6.4444596,6.0809555,6.3454372,462467.9400000006,26
BINANCE:LINKUSD,6.345204,6.8738375,6.1912491,6.8640681,427467.5900000003,27
BINANCE:LINKUSD,6.8739318,7.3063645,6.694134,7.2219347,558149.1900000005,28
BINANCE:LINKUSD,7.229178,8.1200243,7.120644,7.8886314,1611865.310000004,29
BINANCE:LINKUSD,7.8919277,8.2064703,7.6919593,7.819428,851502.1600000006,30
BINANCE:LINKUSD,7.8172222,8.0933883,7.5845484,7.6616212,575710.7000000001,31
