symbol,open,high,low,close,volume,day
BINANCE:LINKUSD,13.5084274,14.3853095,13.494345,14.0384353,89148.16000000005,1
BINANCE:LINKUSD,14.0464854,14.3921077,12.8010715,12.8954612,358483.12,2
BINANCE:LINKUSD,12.8971258,13.2997255,12.3015307,12.8844649,148893.9400000003,3
BINANCE:LINKUSD,12.9105473,13.181518,12.3764534,12.9370767,109420.34000000014,4
BINANCE:LINKUSD,12.9334245,13.0470379,12.5659649,12.8418694,49040.44999999997,5
BINANCE:LINKUSD,12.8449238,12.9436315,11.0002382,11.2866178,131154.66,6
BINANCE:LINKUSD,11.2707056,11.8658928,10.1205033,11.4467572,218715.60000000033,7
BINANCE:LINKUSD,11.4418119,11.8822629,10.7760728,10.9269505,105139.46000000006,8
BINANCE:LINKUSD,10.9231222,12.8241024,10.4409993,12.6500319,174777.7600000005,9
BINANCE:LINKUSD,12.658078,12.6663404,11.6655428,12.0664622,81404.17000000006,10
BINANCE:LINKUSD,12.0715063,12.8846777,12.0211913,12.6541298,66637.58000000002,11
BINANCE:LINKUSD,12.6472649,13.2886896,12.4672041,13.1404198,58135.299999999916,12
BINANCE:LINKUSD,13.1485979,13.2176909,12.4228064,12.623471,65318.470000000045,13
BINANCE:LINKUSD,12.614348,13.2330375,12.5803302,12.6335658,91108.79999999997,14
BINANCE:LINKUSD,12.6468684,12.8705324,12.2157877,12.2385904,95441.13000000014,15
BINANCE:LINKUSD,12.2245496,12.5158771,11.9225707,12.3523924,104166.48000000013,16
BINANCE:LINKUSD,12.3543891,12.6982825,12.2007937,12.5248917,91819.4699999999,17
BINANCE:LINKUSD,12.5393683,12.7102563,12.39932,12.5565983,62999.26000000004,18
BINANCE:LINKUSD,12.5561537,13.0355636,12.5354071,12.9347467,61029.55999999994,19
BINANCE:LINKUSD,12.9350814,13.585934,12.8691442,13.2812332,91804.40000000008,20
BINANCE:LINKUSD,13.2728692,13.6803669,12.971529,13.0987754,103453.87999999983,21
BINANCE:LINKUSD,13.1022859,14.2389789,12.8902776,14.1385689,168054.7200000001,22
BINANCE:LINKUSD,14.1589668,15.2559401,14.0268427,15.0194255,183559.02000000008,23
BINANCE:LINKUSD,15.0203264,15.1342425,14.1636215,15.0585148,119644.76000000008,24
BINANCE:LINKUSD,15.044557,15.3768349,14.7217815,14.927623,127118.28000000004,25
BINANCE:LINKUSD,14.9341979,15.2745937,14.6952533,14.8728989,66986.91999999993,26
BINANCE:LINKUSD,14.8682878,15.0950595,14.3833046,14.5558417,45475.58999999997,27
BINANCE:LINKUSD,14.5649456,15.1102313,14.2687725,15.0340497,71166.93999999981,28
BINANCE:LINKUSD,15.0325579,15.2422002,14.4998003,14.6189227,49433.82999999998,29
BINANCE:LINKUSD,14.6073721,14.7497876,13.8752912,14.2930951,65945.21999999999,30
