symbol,open,high,low,close,volume,day
BINANCE:LINKUSD,6.3131763,6.5252876,6.1283103,6.5043864,537311.2000000005,1
BINANCE:LINKUSD,6.5010231,6.561731,6.3463716,6.5415641,503190.71000000014,2
BINANCE:LINKUSD,6.5335056,6.6887345,6.473858,6.6312438,381403.2299999998,3
BINANCE:LINKUSD,6.6272416,6.6272416,6.4078901,6.5246265,348807.2200000008,4
BINANCE:LINKUSD,6.5269278,6.5679842,6.2186376,6.2997513,332309.5700000004,5
BINANCE:LINKUSD,6.296821,6.5072278,6.0764603,6.0824411,352457.30000000057,6
BINANCE:LINKUSD,6.085814,6.227222,6.0339188,6.1524112,271652.87999999995,7
BINANCE:LINKUSD,6.1570228,6.2200645,6.097638,6.1955197,205327.79999999984,8
BINANCE:LINKUSD,6.1998465,6.245033,6.1255311,6.1495876,180147.13000000027,9
BINANCE:LINKUSD,6.1564813,6.3014888,6.0304118,6.1760619,299055.3000000007,10
BINANCE:LINKUSD,6.1773225,6.2364146,6.1285637,6.2024737,186856.08999999982,11
BINANCE:LINKUSD,6.2116342,6.3502317,6.1990092,6.2526176,221473.6600000001,12
BINANCE:LINKUSD,6.2517167,7.1694296,6.216862,7.1338688,814880.9800000002,13
BINANCE:LINKUSD,7.1372324,7.3465184,6.7116349,6.958303,852758.3799999999,14
BINANCE:LINKUSD,6.9567179,7.021847,6.8402281,6.915844,342908.3499999993,15
BINANCE:LINKUSD,6.9205817,6.9205817,6.5817586,6.606707,414331.71000000025,16
BINANCE:LINKUSD,6.6083096,7.2619301,6.4694982,7.1948208,1278749.1500000008,17
BINANCE:LINKUSD,7.1948995,7.3044844,6.7946584,6.9116426,1165413.2199999988,18
BINANCE:LINKUSD,6.9112331,7.0502387,6.773859,6.9179271,621886.5800000004,19
BINANCE:LINKUSD,6.9181375,8.4598669,6.8914829,8.3655306,3176514.2500000065,20
BINANCE:LINKUSD,8.3655923,8.4490344,8.0473756,8.1346417,1390879.9399999988,21
BINANCE:LINKUSD,8.1314569,8.3683932,7.7967621,7.8772586,956315.3299999991,22
BINANCE:LINKUSD,7.8887315,8.0967733,7.827427,7.8903191,424068.26999999955,23
BINANCE:LINKUSD,7.8931421,7.8931421,7.4426391,7.589166,650765.2200000004,24
BINANCE:LINKUSD,7.5909509,7.6438998,7.3489693,7.3909973,356204.6600000002,25
BINANCE:LINKUSD,7.3935796,7.8429388,7.2839649,7.7447275,539489.3000000002,26
BINANCE:LINKUSD,7.7447459,8.1267289,7.6861506,7.9932372,639974.1099999993,27
BINANCE:LINKUSD,7.9903802,8.0911381,7.7719439,7.7778095,328381.7200000005,28
BINANCE:LINKUSD,7.7742908,7.9005408,7.7253426,7.8475384,213567.88000000003,29
BINANCE:LINKUSD,7.8505609,7.8649033,7.3515779,7.5563737,393882.1899999996,30
BINANCE:LINKUSD,7.5562111,7.7158752,7.4477194,7.5499152,395156.12000000005,31
