datetime,symbol,open,high,low,close,volume,day
2024-12-01 01:00:00,BINANCE:LINKUSD,19.011314,19.119869,18.451546,18.942548,196752.82000000024,1
2024-12-02 01:00:00,BINANCE:LINKUSD,18.9541335,26.8760947,18.6183324,25.2238706,1929466.4500000007,2
2024-12-03 01:00:00,BINANCE:LINKUSD,25.2325813,26.2461293,22.5958508,24.1225867,1186424.899999999,3
2024-12-04 01:00:00,BINANCE:LINKUSD,24.1599149,26.5214231,23.6422649,24.1032493,781480.9599999984,4
2024-12-05 01:00:00,BINANCE:LINKUSD,24.1299092,24.8324923,22.387786,23.1565567,564207.93,5
2024-12-06 01:00:00,BINANCE:LINKUSD,23.168567,25.9707136,22.7811329,25.8844404,407828.14000000065,6
2024-12-07 01:00:00,BINANCE:LINKUSD,25.9202571,26.9187948,24.4723876,24.8110199,375197.1600000004,7
2024-12-08 01:00:00,BINANCE:LINKUSD,24.8193852,27.4289212,24.7050407,26.1088905,437117.41999999934,8
2024-12-09 01:00:00,BINANCE:LINKUSD,26.1447511,27.3644154,19.7889489,22.3047557,1013945.1599999995,9
2024-12-10 01:00:00,BINANCE:LINKUSD,22.2640433,23.7899921,20.2957141,22.1336446,771556.7600000009,10
2024-12-11 01:00:00,BINANCE:LINKUSD,22.1369033,24.3316488,21.1676762,24.0677554,345363.05999999994,11
2024-12-12 01:00:00,BINANCE:LINKUSD,24.0698259,29.4529909,23.8978224,29.1515511,1316757.6499999997,12
2024-12-13 01:00:00,BINANCE:LINKUSD,29.1380418,30.9511019,27.5437178,28.9986111,894234.8400000016,13
2024-12-14 01:00:00,BINANCE:LINKUSD,28.988714,30.7805096,28.7239654,29.1150493,745998.8499999994,14
2024-12-15 01:00:00,BINANCE:LINKUSD,29.1115139,29.8444494,28.0290051,29.2403364,644596.5899999993,15
2024-12-16 01:00:00,BINANCE:LINKUSD,29.2643438,30.8395803,28.4215752,28.7228498,754387.75,16
2024-12-17 01:00:00,BINANCE:LINKUSD,28.7360697,29.0432348,27.3355563,27.8469297,562754.8899999988,17
2024-12-18 01:00:00,BINANCE:LINKUSD,27.8475332,28.3411296,24.6932361,24.8559791,701413.9600000005,18
2024-12-19 01:00:00,BINANCE:LINKUSD,24.8831448,25.5907735,21.7168517,22.7854036,751599.7999999989,19
2024-12-20 01:00:00,BINANCE:LINKUSD,22.8467414,23.6868847,19.9910062,23.3825334,664852.2899999989,20
2024-12-21 01:00:00,BINANCE:LINKUSD,23.3665544,24.9264759,21.7843497,22.0930802,386075.0799999997,21
2024-12-22 01:00:00,BINANCE:LINKUSD,22.1369109,22.7687517,21.3272078,22.0778533,151492.57999999978,22
2024-12-23 01:00:00,BINANCE:LINKUSD,22.0750635,24.9453257,21.5004027,24.5393161,358310.8200000002,23
2024-12-24 01:00:00,BINANCE:LINKUSD,24.5361474,25.9763856,23.5170407,25.429887,312147.5800000001,24
2024-12-25 01:00:00,BINANCE:LINKUSD,25.4283053,25.5725554,24.1501505,24.4229159,140252.76000000018,25
2024-12-26 01:00:00,BINANCE:LINKUSD,24.4281349,24.6755831,22.4120534,22.6634119,226295.68999999986,26
2024-12-27 01:00:00,BINANCE:LINKUSD,22.6777216,23.6426777,21.3689093,21.5402808,182507.41000000012,27
2024-12-28 01:00:00,BINANCE:LINKUSD,21.5485097,22.3386354,21.048287,21.9745741,224486.38000000024,28
2024-12-29 01:00:00,BINANCE:LINKUSD,21.9784193,21.9784193,20.7636398,20.9409986,81291.11999999998,29
2024-12-30 01:00:00,BINANCE:LINKUSD,20.9123779,21.7790848,20.0366742,20.5783603,116553.42000000025,30
2024-12-31 01:00:00,BINANCE:LINKUSD,20.5571071,21.1652716,19.8207619,19.9924373,123490.94999999997,31
